Name,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31,Round 32,Round 33,Round 34,Round 35,Round 36,Round 37,Round 38,Round 39,Round 40,Round 41,Round 42,Round 43,Round 44,Round 45,Round 46,Round 47,Round 48,Round 49,Round 50,Round 51,Round 52,Round 53,Round 54,Round 55,Round 56,Round 57,Round 58,Round 59,Round 60,Round 61,Round 62,Round 63,Round 64,Round 65,Round 66,Round 67,Round 68,Round 69,Round 70,Round 71,Round 72,Round 73,Round 74,Round 75
Luni,"42.95848,-76.45693","29.9856389,-95.340083","12.726546,-61.316809","55.67513,12.57751","-16.71572,179.33211","35.013284,135.749493","30.957842908781593,-6.7677982745735505","35.013284,135.749493","-34.6396982060253,-58.3613340997234","30.957842908781593,-6.7677982745735505","61.54012,-149.05898","32.743647,129.874137","32.743647,129.874137","37.312683,40.731137","60.489,-151.062","37.312683,40.731137","36.800935,10.185989","40.177174,-88.239521","-16.25031,145.31845","38.743909,-9.143088","41.02503,29.010827","30.957842908781593,-6.7677982745735505","60.489,-151.062","-16.25031,145.31845","12.726546,-61.316809","36.800935,10.185989","37.312683,40.731137","12.726546,-61.316809","30.957842908781593,-6.7677982745735505","38.743909,-9.143088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolthy,"57.430295,-6.784205","21.673151,-158.041249","31.602174050302345,-8.027422267013963","42.51064,1.537922","-29.009359014780394,167.92301355287768","34.542192,110.093129","35.832885848333035,14.562114039001127","25.026898,121.574435","31.602174,-8.027422","31.602174,-8.027422","21.673151,-158.041249","27.864102,99.704669","21.179321,94.878944","39.710567,21.635","21.673151,-158.041249","40.074235,20.138563","38.036909,14.018415","57.42289430615886,-6.787782980792572","5.995493,116.079631","43.1088151,-9.2181144","45.64263,25.588644","35.832885848333035,14.562114039001127","34.542192,110.093129","11.179115,119.38869","31.602174,-8.027422","38.036909,14.018415","6.023732,80.217577","31.602174,-8.027422","42.416357,-2.905877","43.1088151,-9.2181144","31.602174,-8.027422","31.084358,-3.965079","21.673151,-158.041249","7.87346,80.651261","-41.31488842238771,174.81065086164222","57.42289430615886,-6.787782980792572","31.602174,-8.027422","57.633499,-6.283274","44.433482,26.103955","21.673151,-158.041249","20.680251,101.969303","39.710567,21.635","31.602174,-8.027422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saranac,"42.400194444444445,-79.44122222222222","25.121944444444445,-99.91575","12.11061111111111,-68.93044444444445","51.54111111111111,0.10041666666666667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fgeva,"40.75904,-73.9796","41.866852,-87.607151","40.75904,-73.9796","52.516443,13.379096","36.95028,-122.05794","60.16317,24.914566","-4.486944,15.268056","60.16317,24.914566","38.888,-77.02","-4.331283,15.218865","45.8853,-123.9657","60.16317,24.914566","-2.491266,28.892874","1.2467454,29.8245052","45.8853,-123.9657","-2.491266,28.892874","-4.331283,15.218865","41.866852,-87.607151","1.2467454,29.8245052","37.876301,-4.782195","60.16317,24.914566","-4.486944,15.268056","45.8853,-123.9657","-2.491266,28.892874","38.888,-77.02","2.744201,23.79126","1.2467454,29.8245052","38.888,-77.02","37.177114,-3.589197","40.75904,-73.9796","38.888,-77.02","37.177114,-3.589197","36.95028,-122.05794","1.2467454,29.8245052","36.95028,-122.05794","41.866852,-87.607151","38.888,-77.02","54.773185,-1.576793","50.077726,14.418161","36.95028,-122.05794","60.16317,24.914566","44.280858,3.228126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jpeters,"42.332812230881835,-83.04128586665605","38.8924182,-77.0484438","38.8924182,-77.0484438","54.68677,8.58974","35.78853244928389,140.38994819001041","40.35697314346051,116.00195382994613","25.2617775,51.6130957","40.35848774096019,116.0049239250725","38.88190004585563,-77.11122079845231","44.82677686709158,-0.5560954398253092","49.2900389,-123.1200528","18.304363153235144,109.14894543129691","18.304363153235144,109.14894543129691","26.26674756537427,50.631215130001856","49.1989024964105,-123.18153345795544","25.2617775,51.6130957","41.79296514582908,12.244216943512606","42.22256523575325,-83.35177209317844","-8.7447159079067,115.16877572181566","51.45435928917232,-2.625697984112554","52.23819170458289,21.017888095214612","25.2617775,51.6130957","35.78853244928389,140.38994819001041","-8.7447159079067,115.16877572181566","39.874330753421766,-75.23906287089345","41.79296514582908,12.244216943512606","24.449784608120392,54.64263494936272","38.94895856972117,-77.45220990371597","41.79296514582908,12.244216943512606","44.80764570134774,-68.81868526555192","38.88190004585563,-77.11122079845231","41.9030260626345,12.454142564768954","39.857626832734184,-104.6435935133315","24.449784608120392,54.64263494936272","39.857626832734184,-104.6435935133315","42.22256523575325,-83.35177209317844","38.88190004585563,-77.11122079845231","52.4084133510435,-1.5288165689990152","26.26674756537427,50.631215130001856","49.1989024964105,-123.18153345795544","18.304363153235144,109.14894543129691","41.26118334219754,28.73742301550141","38.94895856972117,-77.45220990371597","41.26118334219754,28.73742301550141","-8.7447159079067,115.16877572181566","18.304363153235144,109.14894543129691","-8.7447159079067,115.16877572181566","41.79296514582908,12.244216943512606","-8.7447159079067,115.16877572181566","44.82677686709158,-0.5560954398253092","52.23819170458289,21.017888095214612","40.35697314346051,116.00195382994613","42.332812230881835,-83.04128586665605","41.79296514582908,12.244216943512606","25.2617775,51.6130957","18.304363153235144,109.14894543129691","-8.7447159079067,115.16877572181566","39.857626832734184,-104.6435935133315","40.35848774096019,116.0049239250725","38.94895856972117,-77.45220990371597","32.0564451,118.8397178",,,,,,,,,,,,,,
OKobern,"41.478308,-81.077724","25.851188,-97.414271","24.959191,-80.571151","44.866148,-68.728996","33.809099,-117.924397","58.133379,-135.46639","44.340416,-68.176661","58.133379,-135.46639","24.959191,-80.571151","44.311019,-68.18983","58.133379,-135.46639","58.133379,-135.46639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pandem,"17.97707159978306,-92.94271477959313","-16.5412883498046,-68.08289332389589","-20.460571297116203,-54.59518611611662","52.37619089459935,9.740819074278454","-31.455978860503702,152.73645163280952","41.77053666436505,44.809839145900284","35.820300540895765,14.456657127350775","47.91768361546552,106.91788093016089","-20.4639245,-66.8202974","37.083052334136596,-8.233431815004186","40.83084306167406,140.73641729551701","22.83342476755835,101.00137766248008","21.186420699702232,101.6725584552515","41.63919166858354,41.61314041957745","19.05567152411389,-98.18585956512229","51.743421299817356,13.439250097821978","35.49809093604473,23.656095375212683","45.508870665702794,-73.54726549011977","1.2816278,103.872875","42.886539639557135,-8.512061376930465","41.84047254684555,44.641282926623916","25.258233103350666,55.29755139387787","38.129026081950435,140.44680434177187","17.963032115683294,102.60581783716148","-18.996397641506636,-57.652694612490095","38.34863795205941,20.541284383622255","41.348394425459915,48.45602649635471","-29.91057133533723,-71.25646205561114","39.48027291549833,-0.375474939843393","40.20213186530646,-8.425820863163427","-22.313002922899464,-49.069023866595444","38.637787274849124,0.009621868551428638","19.03908763128327,-98.19316722561003","18.927528048071604,102.45055058381172","-36.1287812,-71.8059231","45.4590778,-73.7561833","-20.462160422083834,-54.604351279554095","55.036813516179905,-1.7065958289324312","39.92917927394356,32.850768351803254","21.135286200425103,-86.74824176008333","19.89786554391876,102.14291329730587","37.47470414776497,22.624346590014273","-20.771718836974635,-51.706288162823114","43.32330282175607,21.895300194372584","-53.1626497208604,-70.90795879956202","18.484492309441812,102.38932775409332","-32.94127204729454,151.69862455388153","40.83357798098612,14.252215081023689","-27.468398144739023,153.02317092935837","41.16175664747693,-8.584571634632834","48.8565543,20.3804367","35.111850848919296,129.05646585395033","43.62645734067162,-89.77760372375386","39.29333233895143,16.25889302984682","-23.4029309,-47.321841","22.83342476755835,101.00137766248008","-32.00427402788938,151.9671162362834","38.58630228480921,-121.49878548242982","38.25197938959574,140.32562577084627","-20.912366725481153,-67.56646086450769","-22.831233114908116,-67.77898759259037","37.136895215646845,-4.713154633046973","6.199038577775502,102.16737265944727","41.17778302838423,27.778528564805004","-39.28245306057993,-72.22202850047942","21.156351599065953,-86.82239747748689","25.258233103350666,55.29755139387787","48.41371358680574,-114.33565256457737","42.48994453313568,78.39138602042352","34.056244302438664,-118.23731599300955","36.48173715318167,-4.989325774282757","44.952782883823566,-93.17900912973177","37.47071844492123,22.609316171870866","23.109156259613638,113.31891261322701","-23.529982049831474,-45.15847795600982"
Flame,"40.4458923,-79.9981683","41.8420556,-89.4859892","41.8754752,-93.5705251","40.59122,-74.18885","38.5896842,-90.3073192","49.2216959,12.657178","18.3423757,-64.9303175","50.3300601,19.1551003","41.9790116,-87.8616367","45.4286959,10.9824429","43.852161,-103.538289","52.2501389,21.011782","52.2501389,21.011782","40.7519442,14.4928266","33.8090701,-117.9243882","40.7519442,14.4928266","40.7519442,14.4928266","39.7946032,-87.8685756","52.2501389,21.011782","51.47584031266008,-0.4696270273944302","52.2501389,21.011782","40.7519442,14.4928266","44.5489267,-104.6794134","52.2501389,21.011782","17.2891221,-62.7253994","40.7519442,14.4928266","40.7519442,14.4928266","17.2891221,-62.7253994","40.7519442,14.4928266","17.2891221,-62.7253994","41.873877,-87.6474948","40.7519442,14.4928266","41.9790116,-87.8616367","52.2319188,21.0076213","33.8090701,-117.9243882","39.9461357,-82.9910355","17.2891221,-62.7253994","51.47584031266008,-0.4696270273944302","50.8559335,19.9458494","33.8090701,-117.9243882","52.2471134,21.0128723","40.7519442,14.4928266","17.2891221,-62.7253994","40.7519442,14.4928266","40.7519442,14.4928266","52.2471134,21.0128723","33.8090701,-117.9243882","40.7519442,14.4928266","45.4469528,12.3185019",,,,,,,,,,,,,,,,,,,,,,,,,,
AardvarkChan,"51.385984,-2.367567","51.385984,-2.367567","51.385984,-2.367567","48.846011,2.36085","33.2614929,131.3855407","38.27538,140.60497","-34.01997,23.90243","43.44096,142.45195","-33.9809786,23.5671704","48.85361,2.34765","42.497392,141.146416","22.1946,113.5406","1.287052,103.84803","25.2695591,51.6095766","43.237975,141.012983","-33.44022,25.7826718","-26.1336123,28.2319269","51.385984,-2.367567","1.2545506,103.8114586","48.85361,2.34765","55.67752,12.49476","-33.44022,25.7826718","41.759409,140.704751","4.963614175,117.80331918","51.385984,-2.367567","50.052981,8.569835","25.26177,51.61309","51.385984,-2.367567","48.7952374,2.1353423","51.385984,-2.367567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yelldosh,"43.509562,-79.666224","25.6546609,-100.469151","5.176974,-59.480228","55.6773882,12.494951","-16.605915,145.5287731","53.7099906,91.6880657","-23.893656,16.006039","51.9820923,-176.6170361","-13.537217,-71.943898","-23.893656,16.006039","64.5461396,-164.4369077","29.5648487,106.5727137","13.7235303,100.5136602","25.140025,55.186921","59.9548473,-151.7350309","-25.0163587,31.7824941","24.5520865,9.48393","41.8830188,-87.6230378","-8.275419,115.166439","52.9688611,-9.4295833","55.7495555,37.6247577","-23.893656,16.006039","64.4925366,-165.3667068","-8.275419,115.166439","6.8274155,-58.1647315","24.5520865,9.48393","25.140025,55.186921","5.176974,-59.480228","24.5520865,9.48393","18.4610541,-66.0821833","-12.023488,-77.107801","24.9596647,9.0089872","36.5568808,-105.4168814","4.180234,73.528171","-49.0714655,-72.900769","41.8830188,-87.6230378","-15.8005235,-47.8946487","64.6276267,-21.6244978","38.502571,43.339818","21.2598512,-157.8118091","18.805229,98.921637","35.171925,33.361428","-49.0714655,-72.900769","44.825167,20.451364","-33.957073,18.402889","18.805229,98.921637","-27.3880989,153.1194139","24.5520865,9.48393","-16.605915,145.5287731","52.9688611,-9.4295833","59.2267428,24.1969783","53.7099906,91.6880657","49.288073,-95.1533268","24.5520865,9.48393","-33.957073,18.402889","18.805229,98.921637","-17.4952668,145.6106154","40.7934722,-111.9776111","71.386249,-156.4714714","6.2496944,-75.62125","-15.8005235,-47.8946487","24.5520865,9.48393","29.5652424,106.5767695","25.140025,55.186921","-12.023488,-77.107801","18.4610541,-66.0821833","25.140025,55.186921","52.1223296,-106.6649871","38.5826792,68.7864629","21.2598512,-157.8118091","35.88747,-5.3194635","41.49336,-94.247254","24.5520865,9.48393","20.856667,107.088972","-33.957073,18.402889"
Morphior,"42.86231,-79.89639","29.98748,-95.33487","28.08373,-16.73608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINA,"47.6236223,-52.7492274","50.120564,-115.530244","47.562187,-52.70923","54.2517328,12.2185722","-36.81265473369365,174.7543402708874","40.35848774096019,116.0049239250725","35.0065110904935,25.739951880040053","40.073451,116.604779","47.562187,-52.70923","41.36944996049122,2.152846713949649","51.302088,-116.970488","40.357235,116.003004","13.691619,100.746602","36.62015753012829,31.77226052818787","50.4280579,-116.178823","35.0065110904935,25.739951880040053","35.29752098815494,25.16286448461509","51.037769,-114.054272","1.2828473514576226,103.86649218477919","51.88571156906272,-10.425176192742912","45.6775827557512,24.586610563537647","35.0065110904935,25.739951880040053","40.073451,116.604779","1.278887,103.852336","47.562187,-52.70923","35.29752098815494,25.16286448461509","36.62015753012829,31.77226052818787","47.562187,-52.70923","41.36944996049122,2.152846713949649","47.570419,-52.6814631","47.573258,-52.735561","41.36944996049122,2.152846713949649","50.120564,-115.530244","13.817158339427246,99.90598236321262","-38.27425557846638,176.41683293921437","47.6236223,-52.7492274","47.562187,-52.70923","53.7174531,-6.5427192","36.62015753012829,31.77226052818787","50.3512838,-116.3959746","14.360727884212874,100.55745322081306","35.29752098815494,25.16286448461509","47.562187,-52.70923","43.24997,23.528091","-46.89868,168.128982","14.358822,100.56803","-33.7122972,150.3115936","35.0065110904935,25.739951880040053","-33.7122972,150.3115936","51.82374608384719,-10.314064120215336","49.98298230380757,20.05556548627722","40.35848774096019,116.0049239250725","51.12092,-113.990482","35.0065110904935,25.739951880040053","35.0065110904935,25.739951880040053","14.360727884212874,100.55745322081306","-33.7122972,150.3115936","50.120564,-115.530244","40.36083197365904,116.01578263867711","1.28857,103.86271",,,,,,,,,,,,,,,
Puerto Vallarta,"39.329,-76.61897222222221","29.684205,-97.654047","25.795667,-80.136449","52.309311,4.764493","19.728421,-155.065384","38.492019009904325,106.17108338859204","37.1763247,-3.5900988","40.433232,116.564104","20.47651,-86.973889","37.18459,-3.77854","49.26921647515087,-123.25641363634656","37.46401514407275,104.99204004575391","22.607809,120.299525","41.88677640356141,12.504400411056759","48.38592126131347,-124.72666128384444","41.88677640356141,12.504400411056759","37.1763247,-3.5900988","41.788039,-87.598007","22.607809,120.299525","40.40427,-3.68694","48.142855,17.108857","37.1763247,-3.5900988","37.916512,126.698497","22.607809,120.299525","25.795667,-80.136449","41.796152,12.25788","48.142855,17.108857","24.546523957113767,-81.79747419803589","37.1763247,-3.5900988","42.35892,-71.09153","20.47651,-86.973889","37.1763247,-3.5900988","33.27744095890039,-111.78981738586401","37.46401514407275,104.99204004575391","19.728421,-155.065384","41.7905991772191,-87.58248502948557","20.47651,-86.973889","52.309311,4.764493","48.142855,17.108857","19.728421,-155.065384","37.46401514407275,104.99204004575391","41.88677640356141,12.504400411056759","20.47651,-86.973889","48.142855,17.108857","22.607809,120.299525","37.46401514407275,104.99204004575391","22.607809,120.299525","37.1763247,-3.5900988","22.607809,120.299525","40.40427,-3.68694","48.142855,17.108857","38.492019009904325,106.17108338859204","44.88254,-93.205074","37.1763247,-3.5900988","37.17502,-3.5982","37.46401514407275,104.99204004575391","22.607809,120.299525","43.51690747909214,-116.2561281807598","40.433232,116.564104","20.47651,-86.973889","37.887120252024204,-4.793000957266856","37.1763247,-3.5900988","37.46401514407275,104.99204004575391","41.88677640356141,12.504400411056759",,,,,,,,,,,
Nina,"43.29662,-79.79589","29.36202,-98.47978","21.78806,-72.19776","54.17892,9.95706","18.91106,-155.68096","59.45023,24.76614","40.55105,14.24271","61.19929,-149.99273","16.27317,-86.60007","40.55105,14.24271","61.19929,-149.99273","59.45023,24.76614","59.45023,24.76614","40.63393,14.60451","55.34128,-131.64674","40.63393,14.60451","40.55105,14.24271","40.59861,-89.45995","21.99272,-159.67471","51.17819,-1.82679","56.94807,24.11101","40.55105,14.24271","61.19929,-149.99273","21.99272,-159.67471","21.78806,-72.19776","40.55105,14.24271","47.43307,19.26216","21.78806,-72.19776","40.55105,14.24271","40.7729,-73.87227","16.27317,-86.60007","40.55105,14.24271","33.07652,-107.30789","56.94807,24.11101","18.91106,-155.68096","41.79124,-87.58132","21.78806,-72.19776","64.04814,-16.1811","47.43307,19.26216","19.71931,-155.10849","59.45023,24.76614","40.63393,14.60451","16.27317,-86.60007","47.43307,19.26216","40.63393,14.60451","56.94807,24.11101","21.99272,-159.67471","40.55105,14.24271","21.99272,-159.67471","51.17819,-1.82679","56.94807,24.11101","59.45023,24.76614","43.04214,-87.96297","40.55105,14.24271","40.55105,14.24271","59.45023,24.76614","21.99272,-159.67471","43.819154,-111.160192","61.19929,-149.99273","16.27317,-86.60007","21.78806,-72.19776","40.55105,14.24271",,,,,,,,,,,,,
JayDoo909,"42.3484788,-82.953621","25.8587336,-97.4173691","28.1395974,-81.3621544","52.4017888,4.8937752","33.3541261,-118.0609834","38.928161,-109.8155825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curley's wife,"42.6489194,-73.7589854","28.4206703,-81.5789922","28.4206703,-81.5789922","55.680096,12.588844","28.4206703,-81.5789922","55.680096,12.588844","41.8899797,12.4941822","55.680096,12.588844","28.4206703,-81.5789922","41.8899797,12.4941822","63.98941,-22.639931","55.680096,12.588844","55.680096,12.588844","41.8899797,12.4941822","45.4969306,-73.5694652","41.8899797,12.4941822","41.8899797,12.4941822","38.8809714,-77.1131551","55.680096,12.588844","51.4946022,-0.1825153","55.680096,12.588844","41.8899797,12.4941822","63.98941,-22.639931","55.680096,12.588844","28.4206703,-81.5789922","41.8899797,12.4941822","41.8899797,12.4941822","28.4206703,-81.5789922","41.8899797,12.4941822","41.7824173,-69.9878494","28.4206703,-81.5789922","41.8899797,12.4941822","28.4206703,-81.5789922","41.8899797,12.4941822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muskox,"40.879353,-76.501819","29.18072,-98.872418","27.98768735269689,-81.69082833127075","60.01699,22.49893","35.763971972307935,140.3858172364574","34.395952,132.453261","60.01699,22.49893","35.763971972307935,140.3858172364574","28.435399,-81.302861","60.01699,22.49893","49.300708,-123.131404","21.217277,105.796488","13.4438538531721,103.85634197911786","60.16912647935091,24.95357225831156","49.300708,-123.131404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean30303,"42.323606,-79.575158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AyjAy011,"43.090929,-79.07551","32.2348624,-97.7555346","25.1827749,-80.3854506","51.507175,-0.076808","37.52989,-122.36023","51.507175,-0.076808","51.27521,-0.93992","51.507175,-0.076808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solleron,"7.063884,125.54781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hateornges,"43.4182616,-80.2894887","42.2717257,-85.4428796","40.1037747,-83.1097343","52.3039302,4.7623136","40.03132806662137,-83.12139009512306","40.4314175,116.5618934","42.4665329,-2.445606","40.4314175,116.5618934","40.117598,-74.8326552","40.0917792,-74.9207497","34.139148111541395,-118.12593374192349","25.99102848623718,105.66264802823356","22.3133176,113.9285962","42.83751583658844,-2.688822091273455","40.6364145,-74.0084271","42.4665329,-2.445606","42.4665329,-2.445606","41.5777801,-87.5292503","26.3860046,105.6733637","42.5666356,-2.8634378","52.3039302,4.7623136","42.4665329,-2.445606","31.19609824288649,121.3153024160002","22.284242910969912,114.1525027732431","41.856982566509075,-87.63454427070815","42.4665329,-2.445606","26.3860046,105.6733637","40.7874384,-73.9549415","43.3773795,-1.749021","40.7311923,-73.9982632","33.76157179227462,-84.38521525408613","43.1803645,-2.4706471","40.1061883,-83.0048985","26.5492355,106.7990828","40.7729282,-73.8862069","40.03132806662137,-83.12139009512306","39.9522866,-75.1879939","52.328438,4.721643","52.3039302,4.7623136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexaletourneau,"43.0797713,-79.0810902","29.3080447,-94.8001594","-1.4302604,-48.4549786","54.5126317,9.5620071","-17.7618344,177.4381615","41.7969202,140.7569744","-22.6696757,14.5949024","41.7969202,140.7569744","-34.5982677,-58.4491425","14.6715282,-17.0693737","61.2282349,-149.9535603","22.314517,113.9248065","1.2846098,103.8650187","25.97698,51.0452284","55.3411675,-131.6673593","-4.0426041,39.6730581","14.6715282,-17.0693737","40.0961391,-88.25804","-8.4326816,115.2789553","37.7365032,-25.6739297","46.4848322,30.7409279","-22.6696757,14.5949024","61.2282349,-149.9535603","-8.4326816,115.2789553","-1.4526045,-48.4758217","36.7849194,10.1717842","23.6182734,58.5630029","10.6439561,-61.5416608","14.6715282,-17.0693737","37.7365032,-25.6739297","-12.0452801,-77.027643","35.1697434,-5.2573781","32.1750892,-104.4442156","6.9525392,79.8363","-39.4887658,176.921095","39.953793,-83.1251603","-25.6430573,-54.4652155","64.2920492,-15.4465963","31.7645089,35.502197","19.295771,-155.0956678","22.314517,113.9248065","32.0543114,34.7499768","-34.8134108,-58.5391581","42.6065874,23.0290402","-20.5029973,57.4523827","6.9525392,79.8363","-33.87627,151.2026694","14.6715282,-17.0693737","-10.56713,142.00161","37.7365032,-25.6739297","54.68012,25.2958","33.2460413,126.4494482","47.9028794,-97.0566693","-22.6696757,14.5949024","-34.0775933,18.3595122","22.314517,113.9248065","-21.86698,150.75753",,,,,,,,,,,,,,,,,,
maclang23,"43.0911802,-79.0757801","29.3599641,-98.4792603","-23.4238806,-46.4760243","55.68704,12.5733","35.5447223,139.7681653","34.818,135.42673","29.5040318,34.9190924","35.69462,139.70189","-34.57423,-58.40975","38.7069727,-9.1456538","61.20304,-150.01405","19.9919825,99.8603199","13.6752198,100.7547103","25.256423,51.62319","60.10022,-149.43962","25.256423,51.62319","29.5040318,34.9190924","40.0988077,-88.2353676","1.35695,103.98766","38.7988717,-9.3877922","50.352655786111114,30.901612616666664","29.5040318,34.9190924","61.20304,-150.01405","1.35695,103.98766","-23.4238806,-46.4760243","37.9696735,23.728622","25.256423,51.62319","4.6040851,-74.055408","38.7071844,-9.1353551","38.7988717,-9.3877922","-12.02356,-77.10758","40.41032,-3.68011","35.0396,-106.62636","18.6573959,98.6378305","-33.4014891,-70.7953094","39.92716,-83.12504","-23.4238806,-46.4760243","51.486469,-3.1796834","33.1289094,35.7857182","37.76998,-122.51136","19.9919825,99.8603199","30.8299668,34.7534181","-34.8139941,-58.5389033","44.428612,26.0912073","1.28875,103.8058056","18.6573959,98.6378305","1.36462,103.99423","29.5040318,34.9190924","1.36462,103.99423","38.7988717,-9.3877922","53.21564,23.5236379","35.0265692,135.6638276","44.98193,-93.27849","29.5040318,34.9190924","-23.4238806,-46.4760243","19.9919825,99.8603199","1.36462,103.99423","37.8337262,-112.4365527","61.20304,-150.01405","6.2503244,-75.6204324","-23.4238806,-46.4760243","38.7071844,-9.1353551","19.9919825,99.8603199","25.256423,51.62319","-12.1314722,-77.0315","25.7689548,-80.1364114","25.256423,51.62319","44.98193,-93.27849","18.6573959,98.6378305","34.435,-119.8290556","38.7071844,-9.1353551","41.5798199,-93.6165384","29.5040318,34.9190924","20.9119767,107.0177358","-23.4238806,-46.4760243"
nhmartin4,"43.747491,-79.465087","29.552098,-95.09673","13.0820403,-59.6099851","53.632798,10.005839","-17.755374,177.453223","43.347751,77.012757","-17.806281,25.137875","40.360881,116.015727","-34.60833,-58.371018","3.758551,8.714835","49.190856,-123.13325","34.218856286,108.95942504","13.226383,103.826861","29.302372,47.935545","49.190856,-123.13325","-19.013671,27.310118","3.757107,8.782976","40.099905,-88.235188","-8.552736,125.579702","38.78734,-9.390475","50.449344,30.523419","-17.806281,25.137875","36.756614,139.599478","4.890062,114.938229","13.0820403,-59.6099851","35.894802,14.511961","22.933122,57.529681","12.0829,-68.28174","3.758551,8.714835","18.214932,-63.050539","-12.046286,-77.03116","31.63079436,-8.01681831","33.733365,-111.676994","13.052327,80.213548","-43.52823,172.640773","41.479565,-82.680821","-25.548202,-54.584665","63.994392,-22.624642","39.684931,45.232374","19.719365,-155.108456","20.474481,96.89032","30.32222,35.451915","-34.60988,-58.39136","42.673854,23.315335","-29.851679,31.037518","22.552927,88.363758","-33.852595,151.210577","3.757107,8.782976","-8.521995,125.609905","39.629709,-8.675234","53.90669,27.554823","40.360881,116.015727","45.190196,-87.120067","3.757107,8.782976","-29.584769,29.288285","21.036634,105.835906","-33.792839,151.287392","40.77061,-111.892611","36.839603,139.720946","9.0676,-79.385353","-22.900907,-43.176963","3.758551,8.714835","21.157146,94.861559","25.261524,51.613343","-12.046286,-77.03116","18.423087,-77.04428","8.9948745,38.790735","49.190856,-123.13325","28.658185,77.242688","19.206649,-155.899955","32.015637,-6.719964","41.181332,-96.110054","3.757107,8.782976","21.036634,105.835906","-29.584769,29.288285"
Slyther,"41.2626742,28.743779","41.2626742,28.743779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savanna,"41.790623,-87.582234","34.8223438,-111.7900669","40.4175653,-3.7036197","53.5505648,9.9994147","19.4811459,-155.933087","66.6373297,25.3433129","36.3489767,25.3980299","66.6373297,25.3433129","41.790623,-87.582234","40.4175653,-3.7036197","49.3097986,-123.1366589","61.483421,29.482143","36.3473435,25.3948897","36.3473435,25.3948897","48.5970841,-122.9433649","36.3473435,25.3948897","36.7892956,22.5854193","41.790623,-87.582234","20.951866,-156.688295","40.4175653,-3.7036197","54.6746014,25.2909257","36.3473435,25.3948897","49.3097986,-123.1366589","20.951866,-156.688295","40.4175653,-3.7036197","36.688101,23.05441","36.3473435,25.3948897","41.790623,-87.582234","40.4175653,-3.7036197","40.4175653,-3.7036197","41.790623,-87.582234","40.4175653,-3.7036197","34.8223438,-111.7900669","36.3473435,25.3948897","19.2947476,-155.0977144","41.790623,-87.582234","41.790623,-87.582234","64.1475193,-21.9223196","36.3473435,25.3948897","19.808886,-155.094072","61.483421,29.482143","36.3473435,25.3948897","41.790623,-87.582234","42.0936326,19.1329573","36.3473435,25.3948897","61.483421,29.482143","20.951866,-156.688295","36.7892956,22.5854193","20.951866,-156.688295","40.4175653,-3.7036197","53.1319617,23.1630729","61.483421,29.482143","46.7796329,-92.0931577","36.7892956,22.5854193","36.3473435,25.3948897","61.483421,29.482143","20.951866,-156.688295","43.6176485,-116.1985369","66.6373297,25.3433129","41.790623,-87.582234","40.4228471,-3.7141712","40.4175653,-3.7036197","61.483711,29.481681",,,,,,,,,,,,
MKA,"39.814112,-77.250225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
