Name,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31,Round 32,Round 33,Round 34,Round 35,Round 36,Round 37,Round 38,Round 39,Round 40,Round 41,Round 42,Round 43,Round 44,Round 45,Round 46,Round 47,Round 48,Round 49,Round 50,Round 51,Round 52,Round 53,Round 54,Round 55,Round 56,Round 57,Round 58,Round 59,Round 60,Round 61,Round 62,Round 63,Round 64,Round 65,Round 66,Round 67,Round 68,Round 69,Round 70,Round 71,Round 72,Round 73,Round 74,Round 75
oops,"43.08589,-79.06863","32.87221,-97.03325","-34.5849825,-58.391653","55.6275472,12.6447306","51.9506643,-176.6149003","37.4681943,126.4377736","-6.1960861,35.7285154","37.4681943,126.4377736","-34.5849825,-58.391653","30.92144794411881,-6.923105594803966","62.9665857,-151.1524846","37.4681943,126.4377736","1.2791502,103.8406578","24.7578121,51.4775247","59.8775155,-149.5601125","-6.1960861,35.7285154","-2.27827,34.50457","41.8768095,-87.629062","-16.4702039,145.3285529","38.763483,-9.0924485","59.4375087,24.7450361","-2.27827,34.50457","51.9506643,-176.6149003","1.2791502,103.8406578","23.885159,-76.2762345","38.0073352,23.7560597","25.19609,55.27724","23.885159,-76.2762345","31.0743056,-4.0083056","33.6067,-7.63381","-34.5849825,-58.391653","31.0743056,-4.0083056","33.4353333,-112.008283","25.19609,55.27724","-50.469759,-73.031583","37.01984,-86.52516","-34.5849825,-58.391653","63.9932944,-22.6247187","25.2952149,51.5392821","21.30981,-157.64995","1.28397,103.8538","38.0073352,23.7560597","-34.8015,-58.53763","39.490694,20.257992","-4.56771,55.43411","1.2791502,103.8406578","-33.6279506,150.3115316","-2.27827,34.50457","-16.4702039,145.3285529","38.763483,-9.0924485","59.4375087,24.7450361","37.4681943,126.4377736","47.0179929,-90.5471887","-2.27827,34.50457","-6.1960861,35.7285154","1.2791502,103.8406578","-16.8950122,145.7596328","38.5797364,-121.5074148","62.9656567,-151.153561","23.885159,-76.2762345","-34.5849825,-58.391653","31.1414891,-3.9324195","37.4681943,126.4377736","24.65074,51.42824","-34.5849825,-58.391653","23.885159,-76.2762345","-3.2439727,37.5177245","51.1378934,-114.02884","25.19609,55.27724","21.30981,-157.64995","31.5854908,-5.5911257","42.1197536,-90.7735342","-2.27827,34.50457","37.4681943,126.4377736",
Jack,"43.08245,-79.07734","32.10669,-111.00817","21.8185,-72.1477","50.0499,8.5726","35.50124,138.80159","37.46637,126.42216","24.78027,51.45964","35.27465,129.23427","21.8185,-72.1477","50.0499,8.5726","48.3285,-122.6299","35.85277,128.75026","3.15292,101.70389","24.78027,51.45964","48.40164,-122.65649","25.29552,51.53424","24.78027,51.45964","43.02781,-87.97167","4.96867,114.85267","52.69312,-8.92036","50.0499,8.5726","24.78027,51.45964","43.05405,141.35527","4.92414,115.01168","21.8185,-72.1477","50.0499,8.5726","24.78027,51.45964","21.8185,-72.1477","50.0499,8.5726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlc,"40.7111,-74.00893","30.2531,-97.7063","-1.4488,-48.5006","53.56116,9.98649","37.6,-122.387","28.37806,83.80855","36.04778,14.26871","59.0447,-137.0533","-34.58918,-58.39307","-23.4255,-46.474","59.0447,-137.0533","28.37806,83.80855","13.74652,100.53016","25.24482,55.36956","58.38837,-135.7276","11.4055,76.6963","31.62595,-7.98912","42.15109,-77.0537","-7.45625,110.83446","40.65859,-4.70372","45.35223,25.55287","35.8844,14.4033","59.0447,-137.0533","-8.43567,115.27968","-1.4488,-48.5006","35.8958,14.5088","18.92158,72.83538","4.6047,-74.0556","31.62595,-7.98912","46.7782,-56.174","-12.0621,-77.037","34.247734,-3.754852","30.2531,-97.7063","11.2985,76.9357","-51.12442,-73.12999","41.50561,-81.69186","-25.4087,-54.5937","64.3261,-20.1244","40.78335,29.41316","37.6,-122.387","13.7994,100.5469","40.78335,29.41316","-34.61006,-58.39137","42.85567,25.46537","-68.29011,-67.18787","28.37806,83.80855","-8.7451,115.1592","35.8844,14.4033","-8.7451,115.1592","40.65859,-4.70372","46.81237,21.0144","28.37806,83.80855","50.17804,-86.71443","35.8844,14.4033","-23.4255,-46.474","13.7994,100.5469","-8.5816,115.276","37.7593,-119.53429","59.0447,-137.0533","4.3431,-74.37746","-1.4488,-48.5006","6.17058,1.25458","28.37806,83.80855","25.24482,55.36956","-13.73674,-76.21828","18.47118,-66.12375","8.99073,38.76586","52.1047,-106.7377","28.37806,83.80855","37.39474,-122.07736","33.89846,-5.55094","41.8943,-87.79969","6.17058,1.25458","22.20806,114.02804","-34.35706,18.47385"
Sean,"40.7555365,-74.0056373","40.5737462,-73.9742095","40.5737462,-73.9742095","55.628668,12.644019","35.6537942,139.7631952","40.0541754,116.6102178","25.2618551,51.613153","40.0541754,116.6102178","40.5737462,-73.9742095","41.1371913,-8.6095158","44.8950539,-94.3694777","40.0541754,116.6102178","40.0541754,116.6102178","25.269089,51.609519","44.8934538,-94.3942399","25.2618551,51.613153","40.74869,14.48395","44.857721,-93.2426546","34.3721634,135.2985698","41.145735,-8.678105","48.1188259,16.5630192","25.2618551,51.613153","35.6979053,139.7771769","34.3721634,135.2985698","40.5737462,-73.9742095","40.746942,14.500932","25.2618551,51.613153","40.5737462,-73.9742095","41.1371913,-8.6095158","41.145735,-8.678105","40.5737462,-73.9742095","41.1371913,-8.6095158","44.725319,-94.4873699","25.2618551,51.613153","44.725319,-94.4873699","40.7555365,-74.0056373","40.5737462,-73.9742095","64.0487751,-16.1809637","25.2618551,51.613153","44.725319,-94.4873699","40.0541754,116.6102178","40.746942,14.500932","40.5737462,-73.9742095","43.4309,16.7309","34.3721634,135.2985698","40.0541754,116.6102178","34.3721634,135.2985698","40.746942,14.500932","34.3721634,135.2985698","41.145735,-8.678105","48.1188259,16.5630192","40.0541754,116.6102178","44.857721,-93.2426546","40.74869,14.48395","25.2618551,51.613153","40.0541754,116.6102178","34.3721634,135.2985698","44.725319,-94.4873699","40.0541754,116.6102178","40.5737462,-73.9742095","41.1371913,-8.6095158","41.1371913,-8.6095158","40.0541754,116.6102178","25.269089,51.609519","40.5737462,-73.9742095","40.5737462,-73.9742095","25.269089,51.609519","44.8934538,-94.3942399","25.269089,51.609519","44.725319,-94.4873699",,,,,
OceanMan,"43.0907887,-79.0728635","29.425499,-98.4866126","24.8986704,-80.6580595","50.0486585,8.5679593","-41.2981398,174.7446781","34.3107674,132.3061401","44.569595,26.076689","36.732627,138.462173","19.7986468,-87.4752377","43.3246082,-1.9758473","64.8172648,-147.8660222","34.3107674,132.3061401","34.295605,132.3189386","44.569595,26.076689","61.1735817,-149.9820598","44.569595,26.076689","43.3246082,-1.9758473","41.5807365,-87.6782638","-33.8318629,151.212487","43.2680383,-2.9350984","46.5841003,23.7768542","44.569595,26.076689","62.458983,-150.1159849","34.295605,132.3189386","24.8986704,-80.6580595","44.569595,26.076689","44.569595,26.076689","24.8986704,-80.6580595","43.3246082,-1.9758473","44.8618885,-66.9900396","19.7986468,-87.4752377","43.3246082,-1.9758473","32.3071101,-106.8385947","34.3107674,132.3061401","-41.2981398,174.7446781","41.0220545,-83.9222119","19.7986468,-87.4752377","48.8615664,2.2883659","44.569595,26.076689","34.473435,-120.2215299","34.3107674,132.3061401","44.569595,26.076689","19.7986468,-87.4752377","44.569595,26.076689","-37.793845,144.947746","34.3107674,132.3061401","-33.8318629,151.212487","43.3246082,-1.9758473","-33.8318629,151.212487","43.2680383,-2.9350984","46.5841003,23.7768542","34.3107674,132.3061401","46.5694947,-87.4124079","43.3246082,-1.9758473",,,,,,,,,,,,,,,,,,,,,
flaber,"43.08155523477026,-79.0775741242506","30.51774,-97.63483","25.085793500441298,-77.32125299733677","53.553527129063404,10.006845929078532","34.02823352710275,-118.84129238135229","55.609052325340585,12.99958484137384","45.35147946973534,11.777877376659701","63.99346462199418,-22.623061828832245","25.085793500441298,-77.32125299733677","45.90437091055453,8.981904529649958","53.69445098977255,-113.54515836086411","47.83832413938037,20.33866043254258","47.83832413938037,20.33866043254258","47.83832413938037,20.33866043254258","51.14707623749481,-115.5794377758233","45.42783674140044,12.334136813467294","45.35147946973534,11.777877376659701","41.97544360169079,-87.93170645287461","47.83832413938037,20.33866043254258","63.975349643127295,-22.605427758127504","47.83832413938037,20.33866043254258","45.35147946973534,11.777877376659701","53.69445098977255,-113.54515836086411","47.83832413938037,20.33866043254258","25.085793500441298,-77.32125299733677","45.42783674140044,12.334136813467294","47.83832413938037,20.33866043254258","25.085793500441298,-77.32125299733677","45.505133872236904,10.73136235500916","44.389747,-68.204633","24.546518906163282,-81.7974871558419","45.90437091055453,8.981904529649958","39.853755809436514,-104.67546304051763","47.83832413938037,20.33866043254258","32.6739658980771,-117.23902349861208","41.38391307093418,-82.64143449036303","25.085793500441298,-77.32125299733677","63.975349643127295,-22.605427758127504","47.83832413938037,20.33866043254258","34.40091519410149,-119.73855362773882","47.83832413938037,20.33866043254258","47.83832413938037,20.33866043254258","25.085793500441298,-77.32125299733677","47.83832413938037,20.33866043254258","47.83832413938037,20.33866043254258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barborb,"64.142378,-21.92767","37.8085743,-122.4748732","37.01466822,-7.93558609","55.32838269,8.7622345","37.79322992,-122.39987388","62.25029246,25.18263091","-26.19625217,28.06181021","61.49815297,23.76638947","-26.19712625212127,28.059982753138055","32.9125289,10.26212958","37.8085743,-122.4748732","24.41227952,54.47607339","24.9698341,55.4892449","24.41227952,54.47607339","37.79900211,-122.39624798","-6.820376,39.2884484","22.33681346,31.62590621","37.79322992,-122.39987388","24.9698341,55.4892449","38.7926121,-9.389861","52.2525461,21.0383352","-3.22989723,35.55649341","37.79322992,-122.39987388","25.19516395,55.27939789","37.020348,-7.9349335","32.9125289,10.26212958","24.411644468,54.474490286","37.01466822,-7.93558609","32.9125289,10.26212958","37.020348,-7.9349335","37.8085743,-122.4748732","33.729495,10.853788","37.79322992,-122.39987388","24.9698341,55.4892449","37.79322992,-122.39987388","37.79322992,-122.39987388","37.09677503,-8.66790207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tones,"41.07592560609424,-85.13988718898115","32.75741537425382,-97.06824766762945","24.863361,-80.679917","55.62932405369525,12.643980072810702","-36.84845,174.762192","69.6679889,30.1191956","25.269364,51.609339","78.168714,15.991182","24.692165,-81.083871","51.15659862147566,-0.1618831485118947","62.67486231399622,-150.23523361180534","21.215031,105.800128","13.682359761493851,100.74728853568487","25.269364,51.609339","61.218231619810396,-149.75535809963787","25.269364,51.609339","25.269364,51.609339","41.857676965851375,-87.63021007311136","-22.47759208249552,118.54818222288695","51.15659862147566,-0.1618831485118947","55.71481333655624,37.578460481720924","25.269364,51.609339","64.56366975558616,-149.10034450605187","1.3602,103.9898","24.863361,-80.679917","25.269364,51.609339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,"43.0852234,-79.0795704","29.9855416,-95.3329983","15.823289434399953,-88.74902823085087","54.664584,9.3984014","15.823289434399953,-88.74902823085087","40.448172,116.553813","25.7405881673666,32.601566771317934","40.448172,116.553813","15.823289434399953,-88.74902823085087","30.346053,-5.784924","37.82672222222222,-122.42111111111112","40.448172,116.553813","22.33939,114.204471","24.690348,46.684921","37.82672222222222,-122.42111111111112","25.7405881673666,32.601566771317934","25.7405881673666,32.601566771317934","38.9455245,-77.4505046","22.33939,114.204471","37.838986,-25.7940014","47.027739,28.8271205","25.7405881673666,32.601566771317934","40.448172,116.553813","22.33939,114.204471","37.838986,-25.7940014","25.7405881673666,32.601566771317934","24.449454646326945,54.63886713747506","14.6947367,-91.2736433","35.296730964998396,10.706833086485984","37.838986,-25.7940014","15.823289434399953,-88.74902823085087","30.346053,-5.784924","29.9855416,-95.3329983","24.449454646326945,54.63886713747506","14.6947367,-91.2736433","38.9455245,-77.4505046","15.823289434399953,-88.74902823085087","65.162404,-15.308098","39.741298,44.829223","37.826722,-122.421111","22.2548744,113.9058882","30.1109,31.4057","14.38916,-90.60978","42.6949614,23.3351581","24.449454646326945,54.63886713747506","23.404317,113.295793","22.2548744,113.9058882","25.740588,32.601567","22.2548744,113.9058882","37.748361,-25.244978","53.905091,27.552855","40.448172,116.553813","43.641211,-79.386053","25.740588,32.601567","25.740588,32.601567","23.404317,113.295793","22.270963,114.150292","37.750346,-122.476083","40.448172,116.553813","15.823289434399953,-88.74902823085087","30.346053,-5.784924","30.346053,-5.784924","22.2548744,113.9058882","24.581438,46.558121","15.823289434399953,-88.74902823085087","21.2558954,-86.7474709","24.690348,46.684921","43.676545,-79.612214","24.449455,54.638867","37.750346,-122.476083","30.346053,-5.784924","39.7211175769019,21.63412081696171",,,
kirstin,"43.08006371654102,-79.07449054616802","25.8587336,-97.4173691","18.27404,-65.73127","54.78667,9.43661","14.421,121.0339","37.46823,126.43891","24.45162,54.6416","37.46823,126.43891","4.31614,-74.13006","38.76993,-9.13026","37.80896,-122.414","37.46823,126.43891","14.421,121.0339","24.45162,54.6416","37.80896,-122.414","24.45162,54.6416","37.9692,23.74028","42.20876892134423,-83.35772649927966","14.421,121.0339","38.76993,-9.13026","54.67147,25.28619","37.9692,23.74028","37.46823,126.43891","14.421,121.0339","18.27404,-65.73127","37.9692,23.74028","24.45162,54.6416","4.31614,-74.13006","38.76993,-9.13026","38.76993,-9.13026","4.31614,-74.13006","40.41488888888889,-3.6924722222222224","35.1071143512688,-106.62398221955526","24.45162,54.6416","9.93231,-84.07178","42.20876892134423,-83.35772649927966","4.31614,-74.13006","55.9500556,-3.1931389","24.45162,54.6416","37.80896,-122.414","14.421,121.0339","37.9692,23.74028","4.31614,-74.13006","42.692,23.1665528","14.421,121.0339","14.421,121.0339","14.421,121.0339","37.9692,23.74028","14.421,121.0339","38.76993,-9.13026","54.67147,25.28619","37.46823,126.43891","43.6521944,-79.3833056","37.9692,23.74028","38.76993,-9.13026","14.421,121.0339","14.421,121.0339","37.80896,-122.414","37.46823,126.43891","6.24444,-75.57929","18.27404,-65.73127","38.76993,-9.13026","14.421,121.0339","24.45162,54.6416","4.31614,-74.13006","18.27404,-65.73127","24.45162,54.6416","42.20876892134423,-83.35772649927966","24.45162,54.6416","37.80896,-122.414","38.76993,-9.13026","35.207,-101.8333056","37.9692,23.74028",,
